person_name,rank,talent_score,evidence_count,reasons
Alexander Rinke - Celonis Co-founder,1,2.9575,1,Alexander Rinke - Celonis Co-founder
Felix Haas - IDnow Founder,2,2.9575,1,Felix Haas - IDnow Founder
Hanno Renner - Personio Founder,3,2.8525,1,Hanno Renner - Personio Founder
Christian Hecker - Trade Republic Co-founder,4,2.8525,1,Christian Hecker - Trade Republic Co-founder
Mehmet Yilmaz - Freeletics Founder,5,2.185,1,Mehmet Yilmaz - Freeletics Founder
Stefan Ender,6,2.08,1,DeepDrive Founders (TUfast Alumni)
Felix Poernbacher,7,2.08,1,DeepDrive Founders (TUfast Alumni)
Dr. Alexander Rosen,8,2.08,1,DeepDrive Founders (TUfast Alumni)
Dean Petrovski,9,2.08,1,DeepDrive Founders (TUfast Alumni)
